departamento;id;value
68;68245;El Guacamayo
13;13248;El Guamo
27;27250;El Litoral del San Juan
44;44110;El Molino
20;20250;El Paso
18;18256;El Paujíl
52;52254;El Peñol
68;68250;El Peñón
25;25258;El Peñón
13;13268;El Peñón
47;47258;El Piñón
68;68255;El Playón
47;47268;El Retén
95;95025;El Retorno
70;70233;El Roble
25;25260;El Rosal
52;52256;El Rosario
05;05697;El Santuario
52;52258;El Tablón de Gómez
52;52260;El Tambo
19;19256;El Tambo
54;54250;El Tarra
54;54261;El Zulia
41;41244;Elías
68;68264;Encino
68;68266;Enciso
05;05264;Entrerríos
05;05266;Envigado
73;73268;Espinal
25;25269;Facatativá
73;73270;Falan
17;17272;Filadelfia
63;63272;Filandia
15;15272;Firavitoba
73;73275;Flandes
19;19290;Florencia
18;18001;Florencia
15;15276;Floresta
68;68271;Florián
76;76275;Florida
68;68276;Floridablanca
25;25279;Fómeque
44;44279;Fonseca
81;81300;Fortul
25;25281;Fosca
52;52520;Francisco Pizarro
05;05282;Fredonia
73;73283;Fresno
05;05284;Frontino
50;50287;Fuente de Oro
47;47288;Fundación
52;52287;Funes
25;25286;Funza
25;25288;Fúquene
25;25290;Fusagasugá
25;25293;Gachalá
25;25295;Gachancipá
15;15293;Gachantivá
25;25297;Gachetá
68;68296;Galán
08;08296;Galapa
70;70235;Galeras
25;25299;Gama
20;20295;Gamarra
68;68298;Gámbita
15;15296;Gámeza
15;15299;Garagoa
41;41298;Garzón
63;63302;Génova
41;41306;Gigante
76;76306;Ginebra
05;05306;Giraldo
25;25307;Girardot
05;05308;Girardota
68;68307;Girón
05;05310;Gómez Plata
20;20310;González
54;54313;Gramalote
50;50313;Granada
25;25312;Granada
05;05313;Granada
68;68318;Guaca
15;15317;Guacamayas
76;76318;Guacarí
19;19300;Guachené
25;25317;Guachetá
52;52317;Guachucal
76;76111;Guadalajara de Buga
68;68320;Guadalupe
41;41319;Guadalupe
05;05315;Guadalupe
25;25320;Guaduas
52;52320;Guaitarilla
52;52323;Gualmatán
50;50318;Guamal
47;47318;Guamal
73;73319;Guamo
19;19318;Guapí
68;68322;Guapotá
70;70265;Guaranda
05;05318;Guarne
25;25322;Guasca
05;05321;Guatapé
25;25324;Guataquí
25;25326;Guatavita
15;15322;Guateque
66;66318;Guática
68;68324;Guavatá
25;25328;Guayabal de Síquima
25;25335;Guayabetal
15;15325;Guayatá
68;68327;Güepsa
15;15332;Güicán de La Sierra
25;25339;Gutiérrez
54;54344;Hacarí
13;13300;Hatillo de Loba
68;68344;Hato
85;85125;Hato Corozal
44;44378;Hatonuevo
05;05347;Heliconia
54;54347;Herrán
73;73347;Herveo
05;05353;Hispania
41;41349;Hobo
73;73349;Honda
73;73001;Ibagué
73;73352;Icononzo
52;52352;Iles
52;52354;Imués
94;94001;Inírida
19;19355;Inzá
52;52356;Ipiales
41;41357;Íquira
41;41359;Isnos
27;27361;Istmina
05;05360;Itagüí
05;05361;Ituango
15;15362;Iza
19;19364;Jambaló
76;76364;Jamundí
05;05364;Jardín
15;15367;Jenesano
15;15368;Jericó
05;05368;Jericó
25;25368;Jerusalén
68;68368;Jesús María
68;68370;Jordán
08;08372;Juan de Acosta
25;25372;Junín
27;27372;Juradó
23;23350;La Apartada
41;41378;La Argentina
68;68377;La Belleza
25;25377;La Calera
15;15380;La Capilla
05;05376;La Ceja
66;66383;La Celia
91;91405;La Chorrera
52;52378;La Cruz
76;76377;La Cumbre
17;17380;La Dorada
54;54385;La Esperanza
05;05380;La Estrella
52;52381;La Florida
20;20383;La Gloria
94;94885;La Guadalupe
20;20400;La Jagua de Ibirico
44;44420;La Jagua del Pilar
52;52385;La Llanada
50;50350;La Macarena
17;17388;La Merced
25;25386;La Mesa
18;18410;La Montañita
25;25394;La Palma
68;68397;La Paz
20;20621;La Paz
91;91407;La Pedrera
25;25398;La Peña
05;05390;La Pintada
41;41396;La Plata
54;54398;La Playa
99;99524;La Primavera
85;85136;La Salina
19;19392;La Sierra
63;63401;La Tebaida
52;52390;La Tola
76;76400;La Unión
70;70400;La Unión
52;52399;La Unión
05;05400;La Unión
15;15403;La Uvita
25;25402;La Vega
19;19397;La Vega
91;91430;La Victoria
76;76403;La Victoria
15;15401;La Victoria
66;66400;La Virginia
54;54377;Labateca
15;15377;Labranzagrande
68;68385;Landázuri
68;68406;Lebrija
52;52405;Leiva
50;50400;Lejanías
25;25407;Lenguazaque
73;73408;Lérida
91;91001;Leticia
73;73411;Líbano
05;05411;Liborina
52;52411;Linares
27;27413;Lloró
19;19418;López de Micay
23;23417;Lorica
52;52418;Los Andes
23;23419;Los Córdobas
70;70418;Los Palmitos
54;54405;Los Patios
68;68418;Los Santos
54;54418;Lourdes
08;08421;Luruaco
15;15425;Macanal
68;68425;Macaravita
05;05425;Maceo
25;25426;Machetá
25;25430;Madrid
13;13430;Magangué
52;52427;Magüí
13;13433;Mahates
44;44430;Maicao
70;70429;Majagual
68;68432;Málaga
08;08433;Malambo
52;52435;Mallama
08;08436;Manatí
44;44560;Manaure
20;20443;Manaure Balcón del Cesar
85;85139;Maní
17;17001;Manizales
25;25436;Manta
17;17433;Manzanares
50;50325;Mapiripán
94;94663;Mapiripana
13;13440;Margarita
13;13442;María La Baja
05;05440;Marinilla
15;15442;Maripí
17;17442;Marmato
17;17444;Marquetalia
66;66440;Marsella
17;17446;Marulanda
68;68444;Matanza
05;05001;Medellín
25;25438;Medina
27;27425;Medio Atrato
27;27430;Medio Baudó
27;27450;Medio San Juan
73;73449;Melgar
19;19450;Mercaderes
50;50330;Mesetas
18;18460;Milán
95;95200;Miraflores
15;15455;Miraflores
19;19455;Miranda
91;91460;Mirití - Paraná
66;66456;Mistrató
97;97001;Mitú
86;86001;Mocoa
68;68464;Mogotes
68;68468;Molagavita
23;23464;Momil
13;13468;Mompós
15;15464;Mongua
15;15466;Monguí
15;15469;Moniquirá
05;05467;Montebello
13;13458;Montecristo
23;23466;Montelíbano
63;63470;Montenegro
23;23001;Montería
85;85162;Monterrey
23;23500;Moñitos
19;19473;Morales
13;13473;Morales
18;18479;Morelia
94;94888;Morichal
70;70473;Morroa
52;52473;Mosquera
25;25473;Mosquera
15;15476;Motavita
73;73461;Murillo
05;05475;Murindó
05;05480;Mutatá
54;54480;Mutiscua
15;15480;Muzo
52;52480;Nariño
25;25483;Nariño
05;05483;Nariño
41;41483;Nátaga
73;73483;Natagaima
05;05495;Nechí
05;05490;Necoclí
17;17486;Neira
41;41001;Neiva
25;25486;Nemocón
25;25488;Nilo
25;25489;Nimaima
15;15491;Nobsa
25;25491;Nocaima
17;17495;Norcasia
13;13490;Norosí
27;27491;Nóvita
47;47460;Nueva Granada
15;15494;Nuevo Colón
85;85225;Nunchía
27;27495;Nuquí
76;76497;Obando
68;68498;Ocamonte
54;54498;Ocaña
68;68500;Oiba
15;15500;Oicatá
05;05501;Olaya
52;52490;Olaya Herrera
68;68502;Onzaga
41;41503;Oporapa
86;86320;Orito
85;85230;Orocué
73;73504;Ortega
52;52506;Ospina
15;15507;Otanche
70;70508;Ovejas
15;15511;Pachavita
25;25513;Pacho
97;97511;Pacoa
17;17513;Pácora
19;19513;Padilla
19;19517;Páez
15;15514;Páez
41;41518;Paicol
20;20517;Pailitas
25;25518;Paime
15;15516;Paipa
15;15518;Pajarito
41;41524;Palermo
41;41530;Palestina
17;17524;Palestina
68;68522;Palmar
08;08520;Palmar de Varela
68;68524;Palmas del Socorro
76;76520;Palmira
70;70523;Palmito
73;73520;Palocabildo
54;54518;Pamplona
54;54520;Pamplonita
94;94887;Pana Pana
25;25524;Pandi
15;15522;Panqueba
97;97777;Papunahua
68;68533;Páramo
25;25530;Paratebueno
25;25535;Pasca
52;52001;Pasto
19;19532;Patía
15;15531;Pauna
15;15533;Paya
85;85250;Paz de Ariporo
15;15537;Paz de Río
47;47541;Pedraza
20;20550;Pelaya
17;17541;Pensilvania
05;05541;Peñol
05;05543;Peque
66;66001;Pereira
15;15542;Pesca
19;19533;Piamonte
68;68547;Piedecuesta
73;73547;Piedras
19;19548;Piendamó - Tunía
63;63548;Pijao
47;47545;Pijiño del Carmen
68;68549;Pinchote
13;13549;Pinillos
08;08549;Piojó
15;15550;Pisba
41;41548;Pital
41;41551;Pitalito
47;47551;Pivijay
73;73555;Planadas
23;23555;Planeta Rica
47;47555;Plato
52;52540;Policarpa
08;08558;Polonuevo
08;08560;Ponedera
19;19001;Popayán
85;85263;Pore
52;52560;Potosí
76;76563;Pradera
73;73563;Prado
88;88564;Providencia
52;52565;Providencia
20;20570;Pueblo Bello
23;23570;Pueblo Nuevo
66;66572;Pueblo Rico
05;05576;Pueblorrico
47;47570;Puebloviejo
68;68572;Puente Nacional
52;52573;Puerres
91;91530;Puerto Alegría
91;91536;Puerto Arica
86;86568;Puerto Asís
05;05579;Puerto Berrío
15;15572;Puerto Boyacá
86;86569;Puerto Caicedo
99;99001;Puerto Carreño
94;94884;Puerto Colombia
08;08573;Puerto Colombia
50;50450;Puerto Concordia
23;23574;Puerto Escondido
50;50568;Puerto Gaitán
86;86571;Puerto Guzmán
86;86573;Puerto Leguízamo
23;23580;Puerto Libertador
50;50577;Puerto Lleras
50;50573;Puerto López
05;05585;Puerto Nare
91;91540;Puerto Nariño
68;68573;Puerto Parra
50;50590;Puerto Rico
18;18592;Puerto Rico
81;81591;Puerto Rondón
25;25572;Puerto Salgar
91;91669;Puerto Santander
54;54553;Puerto Santander
19;19573;Puerto Tejada
05;05591;Puerto Triunfo
68;68575;Puerto Wilches
25;25580;Pulí
52;52585;Pupiales
19;19585;Puracé
73;73585;Purificación
23;23586;Purísima de La Concepción
25;25592;Quebradanegra
25;25594;Quetame
27;27001;Quibdó
63;63594;Quimbaya
66;66594;Quinchía
15;15580;Quípama
25;25596;Quipile
54;54599;Ragonvalia
15;15599;Ramiriquí
15;15600;Ráquira
85;85279;Recetor
13;13580;Regidor
05;05604;Remedios
47;47605;Remolino
08;08606;Repelón
76;76606;Restrepo
50;50606;Restrepo
05;05607;Retiro
52;52612;Ricaurte
25;25612;Ricaurte
20;20614;Río de Oro
27;27580;Río Iró
27;27600;Río Quito
13;13600;Río Viejo
73;73616;Rioblanco
76;76616;Riofrío
44;44001;Riohacha
68;68615;Rionegro
05;05615;Rionegro
27;27615;Riosucio
17;17614;Riosucio
17;17616;Risaralda
41;41615;Rivera
52;52621;Roberto Payán
76;76622;Roldanillo
73;73622;Roncesvalles
15;15621;Rondón
19;19622;Rosas
73;73624;Rovira
68;68655;Sabana de Torres
08;08634;Sabanagrande
85;85300;Sabanalarga
08;08638;Sabanalarga
05;05628;Sabanalarga
47;47660;Sabanas de San Ángel
05;05631;Sabaneta
15;15632;Saboyá
85;85315;Sácama
15;15638;Sáchica
23;23660;Sahagún
41;41660;Saladoblanco
47;47675;Salamina
17;17653;Salamina
54;54660;Salazar
73;73671;Saldaña
63;63690;Salento
05;05642;Salgar
15;15646;Samacá
17;17662;Samaná
52;52678;Samaniego
70;70670;Sampués
41;41668;San Agustín
20;20710;San Alberto
88;88001;San Andrés
68;68669;San Andrés
05;05647;San Andrés de Cuerquía
23;23670;San Andrés de Sotavento
52;52835;San Andrés de Tumaco
23;23672;San Antero
73;73675;San Antonio
25;25645;San Antonio del Tequendama
68;68673;San Benito
70;70678;San Benito Abad
52;52685;San Bernardo
25;25649;San Bernardo
23;23675;San Bernardo del Viento
54;54670;San Calixto
23;23678;San Carlos
05;05649;San Carlos
50;50680;San Carlos de Guaroa
54;54673;San Cayetano
25;25653;San Cayetano
13;13620;San Cristóbal
20;20750;San Diego
15;15660;San Eduardo
13;13647;San Estanislao
94;94883;San Felipe
13;13650;San Fernando
86;86755;San Francisco
25;25658;San Francisco
05;05652;San Francisco
68;68679;San Gil
13;13654;San Jacinto
13;13655;San Jacinto del Cauca
05;05656;San Jerónimo
68;68682;San Joaquín
17;17665;San José
54;54001;San José de Cúcuta
05;05658;San José de La Montaña
68;68684;San José de Miranda
15;15664;San José de Pare
23;23682;San José de Uré
18;18610;San José del Fragua
95;95001;San José del Guaviare
27;27660;San José del Palmar
50;50683;San Juan de Arama
70;70702;San Juan de Betulia
25;25662;San Juan de Rioseco
05;05659;San Juan de Urabá
44;44650;San Juan del Cesar
13;13657;San Juan Nepomuceno
50;50686;San Juanito
52;52687;San Lorenzo
73;73678;San Luis
05;05660;San Luis
15;15667;San Luis de Gaceno
85;85325;San Luis de Palenque
70;70742;San Luis de Sincé
70;70708;San Marcos
50;50689;San Martín
20;20770;San Martín
13;13667;San Martín de Loba
15;15673;San Mateo
86;86757;San Miguel
68;68686;San Miguel
15;15676;San Miguel de Sema
70;70713;San Onofre
52;52693;San Pablo
13;13670;San Pablo
15;15681;San Pablo de Borbur
76;76670;San Pedro
70;70717;San Pedro
52;52694;San Pedro de Cartago
05;05664;San Pedro de Los Milagros
05;05665;San Pedro de Urabá
23;23686;San Pelayo
05;05667;San Rafael
05;05670;San Roque
19;19693;San Sebastián
47;47692;San Sebastián de Buenavista
73;73443;San Sebastián de Mariquita
68;68689;San Vicente de Chucurí
18;18753;San Vicente del Caguán
05;05674;San Vicente Ferrer
47;47703;San Zenón
52;52683;Sandoná
47;47707;Santa Ana
68;68705;Santa Bárbara
52;52696;Santa Bárbara
05;05679;Santa Bárbara
47;47720;Santa Bárbara de Pinto
13;13673;Santa Catalina
05;05042;Santa Fé de Antioquia
68;68720;Santa Helena del Opón
73;73686;Santa Isabel
08;08675;Santa Lucía
41;41676;Santa María
15;15690;Santa María
47;47001;Santa Marta
19;19701;Santa Rosa
13;13683;Santa Rosa
66;66682;Santa Rosa de Cabal
05;05686;Santa Rosa de Osos
15;15693;Santa Rosa de Viterbo
13;13688;Santa Rosa del Sur
99;99624;Santa Rosalía
15;15696;Santa Sofía
52;52699;Santacruz
15;15686;Santana
19;19698;Santander de Quilichao
86;86760;Santiago
54;54680;Santiago
70;70820;Santiago de Tolú
05;05690;Santo Domingo
08;08685;Santo Tomás
66;66687;Santuario
52;52720;Sapuyes
81;81736;Saravena
54;54720;Sardinata
25;25718;Sasaima
15;15720;Sativanorte
15;15723;Sativasur
05;05736;Segovia
25;25736;Sesquilé
76;76736;Sevilla
15;15740;Siachoque
25;25740;Sibaté
86;86749;Sibundoy
54;54743;Silos
25;25743;Silvania
19;19743;Silvia
68;68745;Simacota
25;25745;Simijaca
13;13744;Simití
70;70001;Sincelejo
27;27745;Sipí
47;47745;Sitionuevo
25;25754;Soacha
15;15753;Soatá
15;15757;Socha
68;68755;Socorro
15;15755;Socotá
15;15759;Sogamoso
18;18756;Solano
08;08758;Soledad
18;18785;Solita
15;15761;Somondoco
05;05756;Sonsón
05;05761;Sopetrán
13;13760;Soplaviento
25;25758;Sopó
15;15762;Sora
15;15764;Soracá
15;15763;Sotaquirá
19;19760;Sotara
68;68770;Suaita
08;08770;Suan
73;73770;Suárez
19;19780;Suárez
41;41770;Suaza
25;25769;Subachoque
70;70771;Sucre
68;68773;Sucre
19;19785;Sucre
25;25772;Suesca
25;25777;Supatá
17;17777;Supía
68;68780;Suratá
25;25779;Susa
15;15774;Susacón
15;15776;Sutamarchán
25;25781;Sutatausa
15;15778;Sutatenza
25;25785;Tabio
27;27787;Tadó
13;13780;Talaigua Nuevo
20;20787;Tamalameque
85;85400;Támara
81;81794;Tame
05;05789;Támesis
52;52786;Taminango
52;52788;Tangua
97;97666;Taraira
91;91798;Tarapacá
05;05790;Tarazá
41;41791;Tarqui
05;05792;Tarso
15;15790;Tasco
85;85410;Tauramena
25;25793;Tausa
41;41799;Tello
25;25797;Tena
47;47798;Tenerife
25;25799;Tenjo
15;15798;Tenza
54;54800;Teorama
41;41801;Teruel
41;41797;Tesalia
25;25805;Tibacuy
15;15804;Tibaná
15;15806;Tibasosa
25;25807;Tibirita
54;54810;Tibú
23;23807;Tierralta
41;41807;Timaná
19;19807;Timbío
19;19809;Timbiquí
15;15808;Tinjacá
15;15810;Tipacoque
13;13810;Tiquisio
05;05809;Titiribí
15;15814;Toca
25;25815;Tocaima
25;25817;Tocancipá
15;15816;Togüí
54;54820;Toledo
05;05819;Toledo
70;70823;Tolú Viejo
68;68820;Tona
15;15820;Tópaga
25;25823;Topaipí
19;19821;Toribío
76;76823;Toro
15;15822;Tota
19;19824;Totoró
85;85430;Trinidad
76;76828;Trujillo
08;08832;Tubará
23;23815;Tuchín
76;76834;Tuluá
15;15001;Tunja
15;15832;Tununguá
52;52838;Túquerres
13;13836;Turbaco
13;13838;Turbaná
05;05837;Turbo
15;15835;Turmequé
15;15837;Tuta
15;15839;Tutazá
25;25839;Ubalá
25;25841;Ubaque
76;76845;Ulloa
15;15842;Úmbita
25;25845;Une
27;27800;Unguía
27;27810;Unión Panamericana
05;05842;Uramita
50;50370;Uribe
44;44847;Uribia
05;05847;Urrao
44;44855;Urumita
08;08849;Usiacurí
25;25851;Útica
05;05854;Valdivia
23;23855;Valencia
68;68855;Valle de San José
73;73854;Valle de San Juan
86;86865;Valle del Guamuez
20;20001;Valledupar
18;18860;Valparaíso
05;05856;Valparaíso
05;05858;Vegachí
68;68861;Vélez
73;73861;Venadillo
25;25506;Venecia
05;05861;Venecia
15;15861;Ventaquemada
25;25862;Vergara
76;76863;Versalles
68;68867;Vetas
25;25867;Vianí
17;17867;Victoria
05;05873;Vigía del Fuerte
76;76869;Vijes
54;54871;Villa Caro
15;15407;Villa de Leyva
25;25843;Villa de San Diego de Ubaté
54;54874;Villa del Rosario
19;19845;Villa Rica
86;86885;Villagarzón
25;25871;Villagómez
73;73870;Villahermosa
17;17873;Villamaría
85;85440;Villanueva
68;68872;Villanueva
44;44874;Villanueva
13;13873;Villanueva
25;25873;Villapinzón
73;73873;Villarrica
50;50001;Villavicencio
41;41872;Villavieja
25;25875;Villeta
25;25878;Viotá
15;15879;Viracachá
50;50711;Vistahermosa
17;17877;Viterbo
25;25885;Yacopí
52;52885;Yacuanquer
41;41885;Yaguará
05;05885;Yalí
05;05887;Yarumal
97;97889;Yavaraté
05;05890;Yolombó
05;05893;Yondó
85;85001;Yopal
76;76890;Yotoco
76;76892;Yumbo
13;13894;Zambrano
68;68895;Zapatoca
47;47960;Zapayán
05;05895;Zaragoza
76;76895;Zarzal
15;15897;Zetaquira
25;25898;Zipacón
25;25899;Zipaquirá
47;47980;Zona Bananera
